iso3,country,region,disease_exposure,economic_sensitivity,legal_preparedness,domestic_legal_readiness,trade_continuity_preparedness,legal_indicators_available,legal_indicators_total,legal_vulnerability,tvi,data_availability,tvi_class,disease_class,economic_class,legal_class,contrib_disease,contrib_economic,contrib_legal
PRT,Portugal,Europe,,41.8,,,,0,5,,41.8,E,Moderate,N/A,Moderate,N/A,,13.933333333333332,
CAF,Central African Republic,Africa,,41.8,,,,0,5,,41.8,E,Moderate,N/A,Moderate,N/A,,13.933333333333332,
NPL,Nepal,Asia and the Pacific,,41.5,,,,0,5,,41.5,E,Moderate,N/A,Moderate,N/A,,13.833333333333332,
USA,United States of America,Americas,,41.2,,,,0,5,,41.2,E,Moderate,N/A,Moderate,N/A,,13.733333333333334,
PAN,Panama,Americas,,40.8,,,,0,5,,40.8,E,Moderate,N/A,Moderate,N/A,,13.599999999999998,
NIC,Nicaragua,Americas,,40.6,,,,0,5,,40.6,E,Moderate,N/A,Moderate,N/A,,13.533333333333333,
LSO,Lesotho,Africa,,40.5,,,,0,5,,40.5,E,Moderate,N/A,Moderate,N/A,,13.5,
AUS,Australia,Asia and the Pacific,,40.3,,,,0,5,,40.3,E,Moderate,N/A,Moderate,N/A,,13.433333333333332,
BOL,Bolivia,Americas,,40.3,,,,0,5,,40.3,E,Moderate,N/A,Moderate,N/A,,13.433333333333332,
SGP,Singapore,Asia and the Pacific,,40.1,,,,0,5,,40.1,E,Moderate,N/A,Moderate,N/A,,13.366666666666667,
WSM,Samoa,Asia and the Pacific,,40.1,,,,0,5,,40.1,E,Moderate,N/A,Moderate,N/A,,13.366666666666667,
ARM,Armenia,Europe,42.9,37.0,,,,0,5,,40.0,D/E,Low,Moderate,Low,N/A,14.299999999999999,12.333333333333332,
ZAF,South Africa,Africa,,63.0,83.3,,83.3,3,5,16.7,39.8,E/L,Low,N/A,High,Very Strong,,21.0,5.566666666666666
ATG,Antigua and Barbuda,Americas,,39.4,,,,0,5,,39.4,E,Low,N/A,Low,N/A,,13.133333333333333,
BEL,Belgium,Europe,,39.3,,,,0,5,,39.3,E,Low,N/A,Low,N/A,,13.099999999999998,
SWE,Sweden,Europe,,39.2,,,,0,5,,39.2,E,Low,N/A,Low,N/A,,13.066666666666666,
JPN,Japan,Asia and the Pacific,,39.1,,,,0,5,,39.1,E,Low,N/A,Low,N/A,,13.033333333333333,
STP,Sao Tome and Principe,Africa,,39.1,,,,0,5,,39.1,E,Low,N/A,Low,N/A,,13.033333333333333,
TTO,Trinidad and Tobago,Americas,,38.9,,,,0,5,,38.9,E,Low,N/A,Low,N/A,,12.966666666666665,
LVA,Latvia,Europe,,38.4,,,,0,5,,38.4,E,Low,N/A,Low,N/A,,12.799999999999999,
SRB,Serbia,Europe,,38.2,,,,0,5,,38.2,E,Low,N/A,Low,N/A,,12.733333333333334,
EST,Estonia,Europe,,37.4,,,,0,5,,37.4,E,Low,N/A,Low,N/A,,12.466666666666665,
ESP,Spain,Europe,,36.8,,,,0,5,,36.8,E,Low,N/A,Low,N/A,,12.266666666666666,
CRI,Costa Rica,Americas,,36.8,,,,0,5,,36.8,E,Low,N/A,Low,N/A,,12.266666666666666,
UKR,Ukraine,Europe,,36.8,,,,0,5,,36.8,E,Low,N/A,Low,N/A,,12.266666666666666,
CHL,Chile,Americas,,36.8,,,,0,5,,36.8,E,Low,N/A,Low,N/A,,12.266666666666666,
VCT,Saint Vincent and the Grenadines,Americas,,36.8,,,,0,5,,36.8,E,Low,N/A,Low,N/A,,12.266666666666666,
IND,India,Asia and the Pacific,,48.2,75.0,,75.0,3,5,25.0,36.6,E/L,Low,N/A,Moderate,Strong,,16.066666666666666,8.333333333333332
SUR,Suriname,Americas,,36.5,,,,0,5,,36.5,E,Low,N/A,Low,N/A,,12.166666666666666,
QAT,Qatar,Middle East,,36.5,,,,0,5,,36.5,E,Low,N/A,Low,N/A,,12.166666666666666,
SVK,Slovakia,Europe,,36.3,,,,0,5,,36.3,E,Low,N/A,Low,N/A,,12.099999999999998,
LUX,Luxembourg,Europe,,36.2,,,,0,5,,36.2,E,Low,N/A,Low,N/A,,12.066666666666666,
MAR,Morocco,Africa,14.3,58.0,,,,0,5,,36.2,D/E,Low,Very Low,Moderate,N/A,4.766666666666667,19.333333333333332,
FRA,France,Europe,,36.2,,,,0,5,,36.2,E,Low,N/A,Low,N/A,,12.066666666666666,
KWT,Kuwait,Middle East,,35.8,,,,0,5,,35.8,E,Low,N/A,Low,N/A,,11.933333333333332,
LIE,Liechtenstein,Europe,,35.6,,,,0,5,,35.6,E,Low,N/A,Low,N/A,,11.866666666666667,
IRL,Ireland,Europe,,35.6,,,,0,5,,35.6,E,Low,N/A,Low,N/A,,11.866666666666667,
AUT,Austria,Europe,,35.6,,,,0,5,,35.6,E,Low,N/A,Low,N/A,,11.866666666666667,
BRB,Barbados,Americas,,35.2,,,,0,5,,35.2,E,Low,N/A,Low,N/A,,11.733333333333334,
GRC,Greece,Europe,,35.2,,,,0,5,,35.2,E,Low,N/A,Low,N/A,,11.733333333333334,
OMN,Oman,Middle East,,35.0,,,,0,5,,35.0,E,Low,N/A,Low,N/A,,11.666666666666666,
COL,Colombia,Americas,,34.8,,,,0,5,,34.8,E,Low,N/A,Low,N/A,,11.599999999999998,
MLT,Malta,Europe,,34.6,,,,0,5,,34.6,E,Low,N/A,Low,N/A,,11.533333333333333,
POL,Poland,Europe,,34.4,,,,0,5,,34.4,E,Low,N/A,Low,N/A,,11.466666666666665,
