country,iso3,assessment_year,pvs_assessment_version,indicator,indicator_code,indicator_name,score,score_scale,source,source_url,data_availability,missing_data_flag
Congo,COG,2019,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,2.0,1-5,Public PVSIS report: Rapport de mission d’évaluation PVS,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/139,public_report,False
Congo,COG,2019,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,2.0,1-5,Public PVSIS report: Rapport de mission d’évaluation PVS,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/139,public_report,False
Congo,COG,2019,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,Public PVSIS report (parse incomplete): Rapport de mission d’évaluation PVS,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/139,unavailable,True
Congo,COG,2019,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report (parse incomplete): Rapport de mission d’évaluation PVS,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/139,unavailable,True
Congo,COG,2019,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,Public PVSIS report (parse incomplete): Rapport de mission d’évaluation PVS,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/139,unavailable,True
Colombia,COL,2019,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,Public PVSIS report (parse incomplete): Informe de Evaluación PVS: Acuáticos ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/232,unavailable,True
Colombia,COL,2019,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,Public PVSIS report (parse incomplete): Informe de Evaluación PVS: Acuáticos ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/232,unavailable,True
Colombia,COL,2019,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,Public PVSIS report (parse incomplete): Informe de Evaluación PVS: Acuáticos ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/232,unavailable,True
Colombia,COL,2019,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report (parse incomplete): Informe de Evaluación PVS: Acuáticos ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/232,unavailable,True
Colombia,COL,2019,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,Public PVSIS report (parse incomplete): Informe de Evaluación PVS: Acuáticos ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/232,unavailable,True
Costa Rica,CRI,2015,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,Public PVSIS report (parse incomplete): INFORME DE  EVALUACIÓN PVS  DE SEGUIMIENTO  DE LOS SERVICIOS VETERINARIOS DE COSTA RICA,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/50,unavailable,True
Costa Rica,CRI,2015,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,Public PVSIS report (parse incomplete): INFORME DE  EVALUACIÓN PVS  DE SEGUIMIENTO  DE LOS SERVICIOS VETERINARIOS DE COSTA RICA,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/50,unavailable,True
Costa Rica,CRI,2015,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,Public PVSIS report (parse incomplete): INFORME DE  EVALUACIÓN PVS  DE SEGUIMIENTO  DE LOS SERVICIOS VETERINARIOS DE COSTA RICA,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/50,unavailable,True
Costa Rica,CRI,2015,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report (parse incomplete): INFORME DE  EVALUACIÓN PVS  DE SEGUIMIENTO  DE LOS SERVICIOS VETERINARIOS DE COSTA RICA,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/50,unavailable,True
Costa Rica,CRI,2015,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,Public PVSIS report (parse incomplete): INFORME DE  EVALUACIÓN PVS  DE SEGUIMIENTO  DE LOS SERVICIOS VETERINARIOS DE COSTA RICA,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/50,unavailable,True
Dominica,DMA,2009,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,Public PVSIS report (parse incomplete): Herramienta para la Evaluación de las  Prestaciones de los Servicios Veterinarios ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/189,unavailable,True
Dominica,DMA,2009,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,Public PVSIS report (parse incomplete): Herramienta para la Evaluación de las  Prestaciones de los Servicios Veterinarios ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/189,unavailable,True
Dominica,DMA,2009,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,Public PVSIS report (parse incomplete): Herramienta para la Evaluación de las  Prestaciones de los Servicios Veterinarios ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/189,unavailable,True
Dominica,DMA,2009,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report (parse incomplete): Herramienta para la Evaluación de las  Prestaciones de los Servicios Veterinarios ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/189,unavailable,True
